None;x_origin;y_origin;x_dest;y_dest;id_journey;legMode;transitLeg;legDistance;legDuration
None;;;;;;;<lambda>;legDistance;legDuration
130;2.6532;48.93987;2.3538200000000002;48.86268;2;CAR;0;7.010542889353633;13.466666666666667
131;2.6532;48.93987;2.3538200000000002;48.86268;2;RAIL;1;21.727;29.0
132;2.6532;48.93987;2.3538200000000002;48.86268;2;WALK;0;0.215;8.25
133;2.6532;48.93987;2.3538200000000002;48.86268;2;SUBWAY;1;0.694;2.0
134;2.6532;48.93987;2.3538200000000002;48.86268;3;CAR;0;7.010542889353633;13.466666666666667
135;2.6532;48.93987;2.3538200000000002;48.86268;3;RAIL;1;21.727;29.0
136;2.6532;48.93987;2.3538200000000002;48.86268;3;WALK;0;0.5593334426402755;10.666666666666666
137;2.6532;48.93987;2.3538200000000002;48.86268;4;CAR;0;7.010542889353633;13.466666666666667
138;2.6532;48.93987;2.3538200000000002;48.86268;4;RAIL;1;19.494;25.0
139;2.6532;48.93987;2.3538200000000002;48.86268;4;WALK;0;0.055;8.816666666666666
140;2.6532;48.93987;2.3538200000000002;48.86268;4;BUS;1;1.935;14.0
141;2.6532;48.93987;2.3538200000000002;48.86268;5;CAR;0;4.487575423673032;8.65
142;2.6532;48.93987;2.3538200000000002;48.86268;5;RAIL;1;23.419;19.0
143;2.6532;48.93987;2.3538200000000002;48.86268;5;WALK;0;0.045;16.666666666666668
144;2.6532;48.93987;2.3538200000000002;48.86268;5;BUS;2;4.122;18.0
