id_journey;id_leg;legMode;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;legStartTime;legEndTime;legDepartureDelay;legArrivalDelay;legDistance;legInterlineWithPreviousLeg;legDuration;legStopIdOrigin;legOrigName;x_legOrigin;y_legOrigin;legStopIdDest;legDestName;x_legDest;y_legDest;transitLeg;route;agencyName;tripshortName;headsign
4;4;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T184333;20181029T184600;0;0;0;0;147;;;;;;;;;;;;;
4;5;RAIL;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T184600;20181029T192600;0;0;32867;0;2400;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.237018;48.892187;True;A;RER;GARE DE MARNE LA VALLEE CHESSY;GARE DE MARNE LA VALLEE CHESSY (Chessy)
4;6;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T192600;20181029T193035;0;0;0;0;275;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.65513;48.839646;stop_point:9:1737;GARE DE TORCY (Torcy);2.65513;48.839646;False;;;;
4;7;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193035;20181029T193400;0;0;0;0;205;;;;;;;;;;;;;
4;8;BUS;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193400;20181029T194500;0;0;4295;0;660;stop_point:9:1737;GARE DE TORCY (Torcy);2.654381;48.83897;stop_point:9:946;PASTEUR (Gouvernes);2.654381;48.83897;True;21;Pep's;GARE DE LAGNY THORIGNY;GARE DE LAGNY THORIGNY (Thorigny-sur-Marne)
4;9;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T194500;20181029T195008;0;0;344;0;308;;;2.69194;48.86046;;Rue des Closeaux (Saint-Thibault-des-Vignes) (Gouvernes);2.69194;48.86046;False;;;;
1;1;CAR;20181029T180000;20181029T180000;20181029T183225;2.07710;48.88684;2.26971;48.77321;20181029T180000;20181029T183225;0;0;36657;0;1945;;35 Rue des Closeaux (Mareil-Marly);2.0771;48.88684;;Rue Eugène Sinet (Châtenay-Malabry);2.0771;48.88684;False;;;;
2;1;CAR;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T180417;20181029T180900;0;0;2002;0;283;;35 Rue des Closeaux (Mareil-Marly);2.0771;48.88684;;;2.0771;48.88684;False;;;;
2;2;RAIL;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T180900;20181029T183900;0;0;20552;0;1800;stop_point:8775809:810:A;GARE DE ST GERMAIN EN LAYE (Saint-Germain-en-Laye);2.094837;48.898076;stop_point:8775860:810:A;CHATELET LES HALLES (Paris);2.094837;48.898076;True;A;RER;GARE DE MARNE LA VALLEE CHESSY;GARE DE MARNE LA VALLEE CHESSY (Chessy)
2;3;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T183900;20181029T184148;0;0;0;0;168;stop_point:8775860:810:A;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:8775860:810:B;CHATELET LES HALLES (Paris);2.347013;48.861822;False;;;;
2;4;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T184148;20181029T184700;0;0;0;0;312;;;;;;;;;;;;;
2;5;RAIL;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T184700;20181029T191300;0;0;12942;0;1560;stop_point:8775860:810:B;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:8775872:810:B;GARE DE ROBINSON (Sceaux);2.347013;48.861822;True;B;RER;GARE DE ROBINSON;GARE DE ROBINSON (Sceaux)
2;6;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T191300;20181029T191836;0;0;0;0;336;stop_point:8775872:810:B;GARE DE ROBINSON (Sceaux);2.281431;48.780237;stop_point:59:5976643;ROBINSON RER (Châtenay-Malabry);2.281431;48.780237;False;;;;
2;7;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T191836;20181029T192400;0;0;0;0;324;;;;;;;;;;;;;
2;8;BUS;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T192400;20181029T192700;0;0;846;0;180;stop_point:59:5976643;ROBINSON RER (Châtenay-Malabry);2.280017;48.779387;stop_point:59:5121968;MARC SANGNIER (Châtenay-Malabry);2.280017;48.779387;True;194;RATP;LYCEE POLYVALENT;LYCEE POLYVALENT (Châtenay-Malabry)
2;9;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T192700;20181029T193503;0;0;540;0;483;;;2.27539;48.77242;;Rue Eugène Sinet (Châtenay-Malabry);2.27539;48.77242;False;;;;
1;1;CAR;20181029T080000;20181029T080000;20181029T085428;2.72118;48.89429;2.07710;48.88684;20181029T080000;20181029T085428;0;0;69218;0;3268;;Rue du Lièvre (Thorigny-sur-Marne);2.72118;48.89429;;35 Rue des Closeaux (Mareil-Marly);2.72118;48.89429;False;;;;
2;1;CAR;20181029T080000;20181029T081004;20181029T094143;2.72118;48.89429;2.07710;48.88684;20181029T081004;20181029T083300;0;0;18024;0;1376;;Rue du Lièvre (Thorigny-sur-Marne);2.72118;48.89429;;;2.72118;48.89429;False;;;;
2;2;RAIL;20181029T080000;20181029T081004;20181029T094143;2.72118;48.89429;2.07710;48.88684;20181029T083300;20181029T092100;0;0;33717;0;2880;stop_point:8775831:810:A;GARE DE NEUILLY PLAISANCE (Neuilly-Plaisance);2.513825;48.853486;stop_point:8775809:810:A;GARE DE ST GERMAIN EN LAYE (Saint-Germain-en-Laye);2.513825;48.853486;True;A;RER;GARE DE ST GERMAIN EN LAYE;GARE DE ST GERMAIN EN LAYE (Saint-Germain-en-Laye)
2;3;WALK;20181029T080000;20181029T081004;20181029T094143;2.72118;48.89429;2.07710;48.88684;20181029T092100;20181029T092837;0;0;0;0;457;stop_point:8775809:810:A;GARE DE ST GERMAIN EN LAYE (Saint-Germain-en-Laye);2.094837;48.898076;stop_point:23:555;Place Royale (Saint-Germain-en-Laye);2.094837;48.898076;False;;;;
2;4;WALK;20181029T080000;20181029T081004;20181029T094143;2.72118;48.89429;2.07710;48.88684;20181029T092837;20181029T093200;0;0;0;0;203;;;;;;;;;;;;;
2;5;BUS;20181029T080000;20181029T081004;20181029T094143;2.72118;48.89429;2.07710;48.88684;20181029T093200;20181029T093800;0;0;2130;0;360;stop_point:23:555;Place Royale (Saint-Germain-en-Laye);2.097749;48.894642;stop_point:23:1151;Quatre Chemins (Saint-Germain-en-Laye);2.097749;48.894642;True;23;CSO;Gare routière;Gare routière (Les Clayes-sous-Bois)
2;6;WALK;20181029T080000;20181029T081004;20181029T094143;2.72118;48.89429;2.07710;48.88684;20181029T093800;20181029T094143;0;0;250;0;223;;;2.07999;48.88785;;35 Rue des Closeaux (Mareil-Marly);2.07999;48.88785;False;;;;
3;1;CAR;20181029T080000;20181029T081853;20181029T095542;2.72118;48.89429;2.07710;48.88684;20181029T081853;20181029T083200;0;0;11646;0;787;;Rue du Lièvre (Thorigny-sur-Marne);2.72118;48.89429;;;2.72118;48.89429;False;;;;
3;2;RAIL;20181029T080000;20181029T081853;20181029T095542;2.72118;48.89429;2.07710;48.88684;20181029T083200;20181029T093300;0;0;44475;0;3660;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.65513;48.839646;stop_point:8775809:810:A;GARE DE ST GERMAIN EN LAYE (Saint-Germain-en-Laye);2.65513;48.839646;True;A;RER;GARE DE ST GERMAIN EN LAYE;GARE DE ST GERMAIN EN LAYE (Saint-Germain-en-Laye)
